smiles
CCC(CC1CCC(C)N1C(=O)OCC(F)F)N1CCC(N(C(C)=O)C2=CC=C(F)C=C2)CC1
CC1=CC2C3=C(OC2S1)C(C(=O)NCC1CCC2CC1C2(C)C)=NN3CCCCCCl
N=C1C=CC2=C(C3=CC=CC=C3C=O)C3=CC=C(N)C=C3OC2=C1S(=O)(=O)NCCCCCC(=O)O
[B]C1=CC=C(C2CC(=C3C(=O)N=C4C=CC(Cl)=CC4=C3C3=CC=CC=C3)NN2C(=O)CCC(=O)O)C=C1
O=C(NCC1CCCCC1)C1=CC=CC2=NC(CCl)=CN12
CCC=CCC=CCC=CCCCCCCCC(O)OC(COC(O)CCCCCCCC=CCCCCCCCC(O)OCC(COC(O)CCCCCCCCCCCCCCCCC)OC(O)CCCCCCCC=CCCCCCCCC)COC(O)CCCCCCCCCCCCCCC
COC(=O)C1=C(C)C=C(O)C(C)=C1O
COC(=O)C1=CC=CC=C1OCC(=O)N[C@H](C1=CC=C(F)C=C1)C1=CC=CS1
CCC1=CON=C1C(C)(C)C
O=C(CCCCCCC(=O)NC1=NC(C2=CC=CC=C2[N+](=O)[O-])=CS1)NOCC1=CC=CCC1
CC1CC2CC(C)CC(CNC(=O)C3=CC=CC4=NC(CCl)=CN34)(C1)C2
CCOP(=O)(OCC)O[C@@H]1CCC(C[C@H]2C3CCCN4C(=O)C(=O)C5(O)O[C@@H](CCC5C)C[C@H](OC)/C(C)=C\C=C/C=C\[C@@H](C)CC(C)C(=O)[C@H](OC)C(O)/C(C)=C\C(C)C(=O)C[C@@H]2OC(=O)C34)CC1OC
C=C(C)N(C)S(=O)(=O)C1=C(O)C(NC2=N[S+]([O-])N=C2N[C@@H](C2=CC(C(C)C)=CO2)C(C)C)=CS1
CCCCC1=CC=C(S(=O)(=O)N2C=C(C=CC=O)C3=CC(OC)=CC=C32)C=C1
